Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
208920820,Unleashed (Nick Hall Book 4),Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",0,,Kindle Edition,376,2024,,,2024/10/30,to-read,to-read (#72),to-read,,,,0,0
24911173,BrainWeb,Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",0,Paragon Press,Kindle Edition,360,2015,2015,,2024/10/30,to-read,to-read (#70),to-read,,,,0,0
32686435,MindWar,Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",0,Paragon Press,Kindle Edition,402,2016,,,2024/10/30,to-read,to-read (#71),to-read,,,,0,0
20824260,Mind's Eye,Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",0,Paragon Press,Kindle Edition,360,2014,2014,,2024/10/30,to-read,to-read (#69),to-read,,,,0,0
463063,The Chronicles of Prydain,Lloyd Alexander,"Alexander, Lloyd",,"=""0805082743""","=""9780805082746""",0,Square Fish,Paperback,1104,2007,1989,,2024/09/25,to-read,to-read (#68),to-read,,,,0,0
21787,The Princess Bride,William Goldman,"Goldman, William",,"=""0345418263""","=""9780345418265""",0,Ballantine Books,Paperback,429,2003,1973,,2024/09/25,to-read,to-read (#67),to-read,,,,0,0
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",0,Bloomsbury USA Children's,Hardcover,406,2012,2012,,2024/07/11,to-read,to-read (#66),to-read,,,,0,0
15863832,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,"Ee, Susan",,"=""1611094259""","=""9781611094251""",0,Skyscape,Kindle Edition,288,2012,2011,,2024/07/06,to-read,to-read (#65),to-read,,,,0,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2024/07/06,,,read,,,,1,0
201127814,"The Engineer (The Last Horizon, #2)",Will Wight,"Wight, Will",,"=""""","=""""",0,Hidden Gnome Publishing,Kindle Edition,419,2023,2023,,2024/01/11,to-read,to-read (#64),to-read,,,,0,0
